id,periodo,credito,professor
8103104,p1,4,l1
8101105,p1,4,l2
8103106,p1,4,l2
8101306,p1,4,l3
8108108,p1,4,l4
8103108,p1,4,l4
8103125,p2,4,l5
8101104,p2,4,l5
8103140,p2,4,l6
8103126,p2,4,l6
8108109,p2,4,l7
8103139,p2,4,l7
8103141,p3,4,l8
8103138,p3,4,l8
8103147,p3,4,l9
8103144,p3,4,l9
8103146,p4,4,l10
8103151,p4,4,l10
8103154,p4,4,l11
8108113,p4,4,l11
8101177,p4,4,l12
8103148,p5,4,l12
8103155,p5,4,l13
8101231,p5,4,l13
8103215,p5,4,l14
8103152,p5,4,l14
8103145,p5,4,l15
8103153,p6,4,l15
8103149,p6,4,l16
8103159,p6,4,l16
8103219,p6,4,l17
8103158,p6,4,l17
8103156,p6,4,l18
8103217,p6,4,l18
8103218,p7,4,l19
8103220,p7,4,l19
8103161,p7,4,l20
8103209,p7,4,l20
8103160,p7,4,l21
8103157,p7,4,l21